AJMER JN.,1
AMRITSAR JN.,1
BHAVNAGAR TERMINUS,1
BIKANER JN.,2
CHANDIGARH,2
CHENNAI CENTRAL,1
CHHATRAPATI SHAHU MAHARAJ TERMINUS,1
COIMBATORE  JN.,1
CST-MUMBAI,3
DADAR,2
DEHRA DUN,1
ERNAKULAM. JN,8
GANDHIDHAM JN.,1
HAPA,1
HAZRAT NIZAMUDDIN JN,9
HOWRAH JN.,1
INDORE BG,1
JAMNAGAR,1
KAWR,2
KOCHUVELI,9
KULEM,3
LOKMANYA TILAK TERMINUS,6
MADGOAN JN.,15
MANGALORE CENTRAL,4
MANGALORE JN,2
NAGERCOIL JN.,1
OKHA,1
PATNA JN.,1
PAYYANUR,1
PERNEM,2
PORBANDAR,1
PUNE JN.,3
RATNAGIRI,1
SAWANTWADI ROAD,2
TIRUNELVELI JN,2
TIRUPATI,1
TRIVANDRUM CENTRAL,6
VASCO-DA-GAMA,10
VELANKANNI,1
VERAVAL,1
YESVANTPUR JN.,2
